Repository,Readme,License,CI,Tests,Security_Vulns,Score
3266-express-mongo,true,true,true,true,0,100
Alfa-Tech,true,true,true,true,0,100
alura-docs,true,true,true,true,0,100
alura-docs-2,true,true,true,true,0,100
alurabooks,true,true,true,true,0,100
analisador-de-planilhas-inteligente,true,true,true,true,0,100
api-alurabooks,true,true,true,true,0,100
api-node-express-2,true,true,true,true,0,100
apigotask,true,true,true,true,0,100
aplicando-orientacao-a-objetos,true,true,true,true,0,100
bar-minimal-tools,true,true,true,true,0,100
BaseDadosIMC,true,true,true,true,0,100
Brain-Developer,true,true,true,true,0,100
cmd-chat,true,true,true,true,0,100
cross-the-road-journey,true,true,true,true,0,100
DesafioJava1,true,true,true,true,0,100
desafios-finais,true,true,true,true,0,100
DesignSystem,true,true,true,true,0,100
ESdatabase,true,true,true,true,0,100
esdatabasev2,true,true,true,true,0,100
ESousa97,true,false,true,true,0,90
ExercisesOperators,true,true,true,true,0,100
front-server-esdatabasev2,true,true,true,true,0,100
git-learning-hub,true,true,true,true,0,100
githuggpwa,true,true,true,true,0,100
go-cli-toolkit,true,true,true,true,0,100
go-file-processor,true,true,true,true,0,100
gocontainerruntime,true,true,true,true,0,100
godbmigrate,true,true,true,true,0,100
godistributedkv,true,true,true,true,0,100
godriftdetector,true,true,true,true,4,50
gogitopsdeployer,true,true,true,true,5,50
gohealthchecker,true,true,true,true,0,100
goincidentcli,true,true,true,true,0,100
gologaggregator,true,true,true,true,0,100
goobservabilitystack,true,true,true,true,0,100
Google_Clone,true,true,true,true,0,100
goproxyreverso,true,true,true,true,0,100
gorepohealth,true,false,false,false,0,60
gosecretsrotator,true,true,true,true,0,100
gowasmrunner,true,true,true,true,0,100
images,true,false,false,false,0,60
imersao-dev-agentes-ai-google,true,true,true,true,0,100
imersao-python-alura-agosto-2025,true,true,true,true,0,100
imersao-python-alura-agosto-2025-final,true,true,true,true,0,100
Imersao_Alura,true,true,true,true,0,100
Instabytes-Back-End-Imersao-Alura-Google,true,true,true,true,0,100
Instabytes-Front-End-Imersao-Alura-Google,true,true,true,true,0,100
instalacao-python-automation,true,true,true,true,0,100
jogo-da-advinhacao,true,true,true,true,0,100
Jogo-da-advinhacao-ts,true,true,true,true,0,100
Login,true,true,true,true,0,100
Orm-NodeJS-Sequelize-SQLite,true,true,true,true,0,100
Portifolio,true,true,true,true,0,100
Portifolio_2.1,true,true,true,true,0,100
praticando-java,true,true,true,true,0,100
praticando-logica-js,true,true,true,true,0,100
praticando-logica-js-2,true,true,true,true,0,100
primeiroprojetoJ,true,true,true,true,0,100
project-zero,true,true,true,true,0,100
readme-generate,true,true,true,true,0,100
readme-generate-2,true,true,true,true,0,100
screen-match,true,true,true,true,0,100
serverdatabase,true,true,true,true,0,100
serverjson,true,true,true,true,0,100
seven-of-days-code,true,true,true,true,0,100
sql-clean-app,true,true,true,true,0,100
Vibes,true,true,true,true,0,100
windows-tuneup-script,true,true,true,true,0,100
